trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
74,False,"{'a': 0.5, 'e': 0.989067976460242}",25,0,-155.57057440177212,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
75,False,"{'a': 0.5, 'e': 0.9887710779360422}",20,0,-108.97006963748514,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.9884702243288492}",20,0,-126.87831332117855,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.9881654168420767}",20,7,-49.11496503751306,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.9878566566949545}",20,0,-48.18376133793904,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.9875439451225226}",20,0,-224.07061339761884,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 4}",0
80,False,"{'a': 0.5, 'e': 0.9872272833756269}",30,0,-90.02399680414405,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.986906672720914}",25,0,-95.01179148648005,"{0: 14, 1: 5, 2: 4, 3: 2, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.9865821144408262}",20,0,-36.15047169241699,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.986253609833596}",20,0,-86.42479083563161,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.9859211602132415}",25,0,-124.68416672818987,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.9855847669095608}",25,0,-146.12591511474798,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.9852444312681263}",25,0,-118.23095430060286,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.9849001546502806}",20,0,-156.27169034913058,"{0: 12, 1: 1, 2: 2, 3: 3, 4: 2}",0
88,False,"{'a': 0.5, 'e': 0.9845519384331295}",20,0,-42.51966078995397,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.9841997840095373}",20,8,-42.18985234726237,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.9838436927881214}",25,0,-127.49524935250486,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.9834836661932461}",20,0,-84.97283355004112,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.9831197056650174}",25,0,-60.42853616239009,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.9827518126592768}",30,0,-127.50773572431166,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.9823799886475959}",20,9,-14.540671470851532,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.9820042351172703}",25,0,-158.4363792280514,"{0: 14, 1: 0, 2: 7, 3: 3, 4: 1}",0
